Name,Street,Block,Building,PostalCode,Status,Description,PhotoURL,Latitude,Longitude
Amoy Street Food Centre (Telok Ayer Food Centre),Telok Ayer Street,,National Development Building,069111,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,1.279218443,103.8466068
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),Ang Mo Kio Ave 1,226D,,564226,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,1.366787645,103.8392313
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),Ang Mo Kio Ave 1,341,,560341,Existing,HUP Rebuilding,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,1.364105171,103.8482542
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),Ang Mo Kio Ave 10,409,,560409,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,1.362768918,103.8553698
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),Ang Mo Kio Ave 10,453A,,561453,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,1.368240493,103.8563514
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),Ang Mo Kio Ave 10,527,,560527,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,1.372769928,103.8544828
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),Ang Mo Kio Ave 4,160/162,,560160,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,1.374489121,103.8392143
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),Ang Mo Kio Ave 4,628,,560628,Existing,HUP Rebuilding,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,1.381024867,103.8406823
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),Ang Mo Kio Ave 6,724,,560724,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,1.372197433,103.8465192
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),Ang Mo Kio Street 22,226H,,568226,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,1.367230149,103.8399532
Bedok Food Centre,Bedok Road,1,,469572,Existing,HUP Rebuilding,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,1.320356008,103.9554742
Bedok North Street 1 Blk 216,Bedok North Street 1,216,,460216,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,1.327062409,103.9332215
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),Bedok North Street 3,511,,460511,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg,1.333246279,103.9306021
Bedok Reservoir Road Blk 630,Bedok Reservoir Road,630,,470630,Existing,HUP Rebuilding,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg,1.333159248,103.9140539
Bedok South Road Blk 16,Bedok South Road,16,,460016,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,1.320552165,103.9355391
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),Bendemeer Road,29,,330029,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,1.319216998,103.8630214
Beo Crescent Market,Beo Crescent,38A,,169982,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,1.288822102,103.827358
Berseh Food Centre,Jalan Besar,166,,208877,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,1.307336517,103.856854
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),Boon Lay Place,221A/B,,641221,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg,1.345223163,103.7127998
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Buffalo Road,665,,210665,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg,1.306205841,103.850531
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Bukit Merah Central,163,,150163,Existing,Opted out of HUP,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg,1.283692589,103.8169924
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Bukit Merah Lane 1,120,,150120,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg,1.286297772,103.8044893
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),Bukit Merah View,115,,151115,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,1.285504783,103.8220494
Bukit Panjang Hawker Centre,Bukit Panjang Ring Road,2,,679947,Existing (new),New Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,1.377600535,103.7724896
Bukit Timah Market,Upper Bukit Timah Road,51,,588215,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,1.339375964,103.775995
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),Cambridge Road,41A,,211041,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,1.316159914,103.8502251
Changi Village Blk 2 and 3,Changi Village Road,2&3,,500002,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,1.389151721,103.9882457
Chomp Chomp Food Centre,Kensington Park Road,20,,557269,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,1.364228523,103.8665361
Ci Yuan Hawker Centre,Hougang Avenue 9,51,,538776,Existing (new),New Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,1.375428967,103.882978
Circuit Road Blk 79/79A,Circuit Road,79/79A,,370079,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,1.326449922,103.8850435
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),Circuit Road,80,,370080,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,1.327849561,103.8871285
Circuit Road Blk 89,Circuit Road,89,,370089,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,1.323445253,103.8854492
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),Clementi Ave 2,353,,120353,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,1.314367728,103.7708367
